token,n,logprob_0
film,2340,-7.2942704559744405
patterson,22,-11.961134210967872
kiss,88,-10.574839849847981
volk,8,-12.972735122646352
bryant,26,-11.794080126304705
switzerland,88,-10.574839849847981
cellspacing,701,-8.499668777291598
width,2711,-7.147103814827521
238px,13,-12.48722730686465
eee,7,-13.106266515270875
45px,23,-11.916682448397038
height,759,-8.420174886930557
align,4033,-6.749910869452819
14pt,5,-13.442738751892087
km,147,-10.06174407754745
8pt,19,-12.107737685159748
padding,1879,-7.513681664912722
4pt,13,-12.48722730686465
25em,19,-12.107737685159748
beware,48,-11.180975653418297
omit,210,-9.705069133608719
blatently,14,-12.41311933471093
heresay,5,-13.442738751892087
graphic,112,-10.333677793031093
catagory,12,-12.567270014538186
camel,27,-11.756339798321859
toe,90,-10.552366993995923
em,158,-9.98958163129922
conformation,7,-13.106266515270875
subset,83,-10.63333605652959
intrest,11,-12.654281391527817
ideal,215,-9.681538636198525
lesbian,69,-10.818070159728927
splash,20,-12.056444390772196
fisrt,5,-13.442738751892087
vanilla,22,-11.961134210967872
ice,237,-9.584116523191057
ultimately,207,-9.719457871060818
moronic,14,-12.41311933471093
lend,104,-10.407785765184816
bonnie,20,-12.056444390772196
parker,67,-10.847484044935221
reconsider,192,-9.794681292298407
reputab,3,-13.953564375658077
clyde,12,-12.567270014538186
comparison,482,-8.874232550275588
elizabeth,134,-10.154336864375276
texas,309,-9.318835387428441
oldwindybear,5,-13.442738751892087
roy,89,-10.563540294594048
thornton,19,-12.107737685159748
pair,157,-9.995930858977879
emma,22,-11.961134210967872
homesick,8,-12.972735122646352
yearn,5,-13.442738751892087
devoted,167,-9.934182851909432
wedding,71,-10.789496787284872
champion,288,-9.389216184190241
chestnut,7,-13.106266515270875
barrow,13,-12.48722730686465
ellis,24,-11.874122833978241
dallas,84,-10.621359865482875
farming,30,-11.650979282664032
rental,14,-12.41311933471093
intent,419,-9.01430574440405
grocery,15,-12.344126463223978
fifteen,50,-11.140153658898042
robbery,37,-11.441258751681962
theft,73,-10.761717223177797
kryptonite,3,-13.953564375658077
tantrum,24,-11.874122833978241
legality,54,-11.063192617761914
revisit,92,-10.530388087277148
fabrication,77,-10.708371242472504
outset,23,-11.916682448397038
reediting,5,-13.442738751892087
limitless,4,-13.665882303206297
mode,263,-9.480022632148422
bandy,12,-12.567270014538186
semantics,56,-11.026824973591038
evening,180,-9.859219813435978
lyric,183,-9.842690511484767
perpetual,25,-11.833300839457987
vigilance,16,-12.279587942086406
walk,343,-9.214446217160248
degrade,47,-11.202029062616129
editorialist,4,-13.665882303206297
overt,24,-11.874122833978241
maker,130,-10.184642213870605
insertion,88,-10.574839849847981
jig,4,-13.665882303206297
thrust,82,-10.645457417061934
wander,26,-11.794080126304705
leg,145,-10.075442921905614
investment,118,-10.281492039860522
pee,25,-11.833300839457987
preserve,269,-9.457465284724348
johnny,82,-10.645457417061934
poop,13,-12.48722730686465
officious,14,-12.41311933471093
infantile,12,-12.567270014538186
intact,78,-10.695467837636595
elevation,42,-11.314507046042818
slacker,6,-13.260417195098132
coddle,10,-12.749591571332141
session,133,-10.161827536104434
swoop,13,-12.48722730686465
superstructure,5,-13.442738751892087
babysit,10,-12.749591571332141
laughably,12,-12.567270014538186
inept,17,-12.218963320269971
hammer,121,-10.256386118729447
fret,28,-11.719972154150984
nanny,11,-12.654281391527817
aux,14,-12.41311933471093
unreal,21,-12.007654226602764
incompetence,35,-11.496828602836773
horace,10,-12.749591571332141
mann,34,-11.525816139710026
dirt,49,-11.160356366215561
algorithm,124,-10.23189509872115
computation,24,-11.874122833978241
hilarious,80,-10.670150029652305
robot,117,-10.290002729528432
cooperate,66,-10.862521922299761
workout,6,-13.260417195098132
fatty,29,-11.684880834339713
willie,22,-11.961134210967872
podcast,23,-11.916682448397038
glance,123,-10.23999230895377
hurry,63,-10.909041937934655
finlay,6,-13.260417195098132
engine,465,-8.91013925873883
forgive,230,-9.614097355402992
shared,709,-8.48832113779406
stu,4,-13.665882303206297
shirt,103,-10.417447676096552
dessert,5,-13.442738751892087
san,370,-9.138673658687917
diego,79,-10.682728811859166
chula,1,-15.052176664326188
vista,51,-11.120351031601862
arr,6,-13.260417195098132
ar,87,-10.586268545671604
bipolar,19,-12.107737685159748
est,100,-10.447006478338096
global,605,-8.646948206295345
wash,112,-10.333677793031093
digest,52,-11.10093294574476
purport,54,-11.063192617761914
bernie,14,-12.41311933471093
consult,162,-9.964580329093803
psycho,17,-12.218963320269971
sandal,7,-13.106266515270875
footwear,6,-13.260417195098132
enyclopedia,8,-12.972735122646352
cheat,69,-10.818070159728927
nobody,8,-12.972735122646352
hut,25,-11.833300839457987
dwell,44,-11.267987030407927
cultivation,19,-12.107737685159748
seed,91,-10.541317157809338
plato,36,-11.468657725870077
aristotle,53,-11.081884750774066
heron,10,-12.749591571332141
sue,207,-9.719457871060818
mongo,65,-10.87778939443055
terribly,93,-10.519577171172932
onset,26,-11.794080126304705
predetermine,6,-13.260417195098132
doc,182,-9.848169977249393
semi,626,-8.612826293226089
production,481,-8.876309394220426
dvd,235,-9.59259115018203
slowly,124,-10.23189509872115
eb,45,-11.245514174555868
unwashed,4,-13.665882303206297
ol,41,-11.33860459762188
boyz,18,-12.161804906430023
pack,146,-10.068570042617852
galileo,22,-11.961134210967872
amature,7,-13.106266515270875
rookie,24,-11.874122833978241
banknote,21,-12.007654226602764
euro,70,-10.803681422276828
linux,158,-9.98958163129922
fanatical,14,-12.41311933471093
extremism,27,-11.756339798321859
wmc,29,-11.684880834339713
coop,8,-12.972735122646352
mn,16,-12.279587942086406
skeptic,86,-10.597829368072679
zoological,15,-12.344126463223978
dissenting,45,-11.245514174555868
foul,91,-10.541317157809338
reedit,9,-12.854952086989968
keywords,22,-11.961134210967872
profession,127,-10.207989577867597
tear,97,-10.477465685822805
barn,29,-11.684880834339713
moonshine,2,-14.359029483766243
bail,37,-11.441258751681962
lifetime,77,-10.708371242472504
niggaz,1,-15.052176664326188
wanta,2,-14.359029483766243
beavis,5,-13.442738751892087
butthead,3,-13.953564375658077
jessica,61,-10.941302800152876
simpson,82,-10.645457417061934
announce,361,-9.163298705993306
exception,495,-8.847618901757498
regulation,152,-10.028296143479912
sniper,45,-11.245514174555868
shot,87,-10.586268545671604
enable,214,-9.686200649304336
steam,82,-10.645457417061934
wmcs,7,-13.106266515270875
confirmation,205,-9.72916668518778
gamesmanship,4,-13.665882303206297
factuality,7,-13.106266515270875
reporter,164,-9.952310236501988
journalism,134,-10.154336864375276
perfer,5,-13.442738751892087
taht,9,-12.854952086989968
armenian,327,-9.262216493428934
kurd,178,-9.870393114034103
lmao,11,-12.654281391527817
workplace,23,-11.916682448397038
wifes,29,-11.684880834339713
vigor,14,-12.41311933471093
proscribe,12,-12.567270014538186
escort,30,-11.650979282664032
service,1334,-7.856239437850618
tor,42,-11.314507046042818
donald,68,-10.83266895915008
jelly,7,-13.106266515270875
aggrandize,17,-12.218963320269971
slop,3,-13.953564375658077
pretentious,9,-12.854952086989968
protest,359,-9.168854275837909
wheelchair,13,-12.48722730686465
plead,65,-10.87778939443055
worthlessness,3,-13.953564375658077
everybodys,35,-11.496828602836773
badge,95,-10.498299772725646
tip,487,-8.863912541243598
competence,61,-10.941302800152876
goddamned,2,-14.359029483766243
sloppy,68,-10.83266895915008
assed,10,-12.749591571332141
puerile,9,-12.854952086989968
joint,151,-10.034896827511263
rev,83,-10.63333605652959
goodbye,103,-10.417447676096552
toronto,147,-10.06174407754745
pointy,39,-11.38861501819654
barbarian,32,-11.586440761526461
hoard,16,-12.279587942086406
sword,128,-10.20014640040657
chop,68,-10.83266895915008
hydra,9,-12.854952086989968
bind,162,-9.964580329093803
lake,283,-9.40672976668295
aw,38,-11.414590504599802
be,12,-12.567270014538186
unban,11,-12.654281391527817
corby,6,-13.260417195098132
ffs,10,-12.749591571332141
pencil,18,-12.161804906430023
brisbane,40,-11.36329721021225
warrior,158,-9.98958163129922
stamp,190,-9.805152592165701
briefing,22,-11.961134210967872
discriminate,62,-10.925042279281096
patriarchal,11,-12.654281391527817
batty,7,-13.106266515270875
allahu,4,-13.665882303206297
akbar,17,-12.218963320269971
cheesy,8,-12.972735122646352
subgenre,16,-12.279587942086406
primer,7,-13.106266515270875
invention,137,-10.132195738498062
favorite,224,-9.640530612471148
sanity,36,-11.468657725870077
unqualified,36,-11.468657725870077
pill,41,-11.33860459762188
nappy,4,-13.665882303206297
sweat,37,-11.441258751681962
sum1,7,-13.106266515270875
cleanup,357,-9.174440882546548
pentagon,24,-11.874122833978241
socal,8,-12.972735122646352
crash,219,-9.663104934509686
shitty,10,-12.749591571332141
uve,3,-13.953564375658077
britanniphobic,1,-15.052176664326188
avowedly,4,-13.665882303206297
royalist,22,-11.961134210967872
commonwealth,171,-9.910513107823528
edition,555,-8.733208550579754
translation,785,-8.386492946543779
oklahoma,67,-10.847484044935221
prohibition,64,-10.893293580966516
privilages,4,-13.665882303206297
wit,61,-10.941302800152876
heavyweight,38,-11.414590504599802
agnostic,49,-11.160356366215561
multiculturalism,16,-12.279587942086406
travesty,13,-12.48722730686465
acheived,11,-12.654281391527817
neccesary,16,-12.279587942086406
quo,89,-10.563540294594048
plate,130,-10.184642213870605
legislate,16,-12.279587942086406
dominate,149,-10.048230358380728
centrist,16,-12.279587942086406
asylum,21,-12.007654226602764
usurp,54,-11.063192617761914
argentinean,4,-13.665882303206297
malvinas,6,-13.260417195098132
mein,29,-11.684880834339713
january,1041,-8.104239595711219
infidel,11,-12.654281391527817
irrefutable,18,-12.161804906430023
dogmatic,36,-11.468657725870077
deride,11,-12.654281391527817
kimp,6,-13.260417195098132
kitchen,49,-11.160356366215561
fishy,21,-12.007654226602764
zeitgeist,17,-12.218963320269971
butler,28,-11.719972154150984
omg,70,-10.803681422276828
gayness,1,-15.052176664326188
recommendation,154,-10.015224061912559
kisser,3,-13.953564375658077
linkin,5,-13.442738751892087
park,653,-8.570599535049757
limp,8,-12.972735122646352
bizkit,3,-13.953564375658077
diverse,90,-10.552366993995923
neuron,15,-12.344126463223978
op,167,-9.934182851909432
naconkantari,3,-13.953564375658077
rollback,313,-9.305973473786034
mongoloid,29,-11.684880834339713
biatch,2,-14.359029483766243
butter,78,-10.695467837636595
toast,21,-12.007654226602764
alright,249,-9.534723767861479
nixon,72,-10.775510545310132
yuppie,4,-13.665882303206297
athena,11,-12.654281391527817
espouse,26,-11.794080126304705
greeks,259,-9.495348602626649
fyrom,113,-10.324788845613847
serbia,297,-9.358444525523488
murderer,71,-10.789496787284872
cypriot,94,-10.508881882056183
sea,371,-9.135974601718752
delusional,49,-11.160356366215561
embargo,15,-12.344126463223978
uncalled,50,-11.140153658898042
average,446,-8.951857712306124
northern,614,-8.632181736179044
cyprus,218,-9.6676816015371
recognition,267,-9.464928005925938
hahahahahaha,2,-14.359029483766243
eu,257,-9.503100579430967
unanimity,9,-12.854952086989968
eternal,56,-11.026824973591038
territorial,60,-10.957832102104087
collapse,170,-9.916378227275926
endgame,6,-13.260417195098132
bathe,4,-13.665882303206297
fertile,14,-12.41311933471093
christ,225,-9.636076262121767
smite,7,-13.106266515270875
creature,135,-10.146901885887758
dagger,12,-12.567270014538186
ripper,5,-13.442738751892087
dishonesty,52,-11.10093294574476
resign,103,-10.417447676096552
hoaxer,16,-12.279587942086406
freudian,11,-12.654281391527817
fetch,43,-11.290976548632624
wacky,12,-12.567270014538186
michelle,49,-11.160356366215561
wasnt,114,-10.315978215931692
chile,65,-10.87778939443055
haz,6,-13.260417195098132
kwh,19,-12.107737685159748
bounce,35,-11.496828602836773
wik,41,-11.33860459762188
bash,96,-10.487828472858352
radiant,24,-11.874122833978241
gentile,34,-11.525816139710026
dyslexic,8,-12.972735122646352
man,197,-9.768972935588199
horrendous,21,-12.007654226602764
intelligible,15,-12.344126463223978
preferable,91,-10.541317157809338
villain,76,-10.721443324039857
villians,4,-13.665882303206297
gym,30,-11.650979282664032
grammatical,116,-10.298586473219823
dim,24,-11.874122833978241
witted,7,-13.106266515270875
3rd,337,-9.232093733973826
okie,8,-12.972735122646352
dokie,6,-13.260417195098132
trivia,359,-9.168854275837909
amateur,130,-10.184642213870605
disscusion,11,-12.654281391527817
rupert,18,-12.161804906430023
thorne,7,-13.106266515270875
recur,71,-10.789496787284872
kingpin,4,-13.665882303206297
animate,87,-10.586268545671604
series,1411,-7.800122712473374
miller,111,-10.342646463013853
loeb,6,-13.260417195098132
gotham,9,-12.854952086989968
carmine,4,-13.665882303206297
acuse,3,-13.953564375658077
exit,97,-10.477465685822805
robin,65,-10.87778939443055
brag,29,-11.684880834339713
boss,117,-10.290002729528432
appeal,659,-8.561453129823681
batman,110,-10.35169629853377
monthly,75,-10.734688550789876
mythos,9,-12.854952086989968
jl,9,-12.854952086989968
scooby,6,-13.260417195098132
penguin,41,-11.33860459762188
foe,17,-12.218963320269971
catwoman,8,-12.972735122646352
batmans,9,-12.854952086989968
comic,435,-8.976830633237503
holly,26,-11.794080126304705
selina,6,-13.260417195098132
couldn,13,-12.48722730686465
superhero,38,-11.414590504599802
scar,35,-11.496828602836773
hatter,4,-13.665882303206297
lottery,13,-12.48722730686465
winner,254,-9.514842397307651
figurative,12,-12.567270014538186
dunno,83,-10.63333605652959
hugo,42,-11.314507046042818
influential,113,-10.324788845613847
deeper,87,-10.586268545671604
analyze,102,-10.427203851041916
capable,206,-9.724300495536607
imagination,89,-10.563540294594048
indispensable,10,-12.749591571332141
emotional,134,-10.154336864375276
sexy,42,-11.314507046042818
bimbo,1,-15.052176664326188
curve,105,-10.398216314168664
drawing,35,-11.496828602836773
harley,9,-12.854952086989968
sleeping,46,-11.223535267837093
teacher,329,-9.256118913560815
caring,45,-11.245514174555868
playful,7,-13.106266515270875
hush,7,-13.106266515270875
avenue,124,-10.23189509872115
rescind,21,-12.007654226602764
farmer,69,-10.818070159728927
coffin,19,-12.107737685159748
plane,217,-9.672279310785727
catholicism,84,-10.621359865482875
chum,14,-12.41311933471093
upmost,7,-13.106266515270875
repect,4,-13.665882303206297
comrade,25,-11.833300839457987
frightening,13,-12.48722730686465
xd,49,-11.160356366215561
unbanned,24,-11.874122833978241
successive,11,-12.654281391527817
tarantino,8,-12.972735122646352
similarity,205,-9.72916668518778
simplify,252,-9.522747576814764
shrug,37,-11.441258751681962
cookie,201,-9.748871756267112
edible,6,-13.260417195098132
byte,208,-9.71463858462487
morbid,7,-13.106266515270875
curiousity,14,-12.41311933471093
seventeen,9,-12.854952086989968
solitary,27,-11.756339798321859
confinement,14,-12.41311933471093
beautifully,22,-11.961134210967872
impartial,120,-10.264684921544141
aulahehelalelalala,1,-15.052176664326188
hassan,32,-11.586440761526461
nail,101,-10.437056147484927
npv,11,-12.654281391527817
becasue,24,-11.874122833978241
whimsical,10,-12.749591571332141
whitewash,97,-10.477465685822805
contradict,354,-9.182879751192413
touched,102,-10.427203851041916
vii,53,-11.081884750774066
cafe,61,-10.941302800152876
dust,68,-10.83266895915008
reflection,110,-10.35169629853377
gunpoint,5,-13.442738751892087
grandchild,27,-11.756339798321859
empirically,15,-12.344126463223978
footnote,543,-8.755067344392252
westboro,11,-12.654281391527817
zomg,4,-13.665882303206297
raus,4,-13.665882303206297
hick,10,-12.749591571332141
germ,30,-11.650979282664032
steel,91,-10.541317157809338
quack,26,-11.794080126304705
ashlee,32,-11.586440761526461
lt,42,-11.314507046042818
sci,72,-10.775510545310132
fi,78,-10.695467837636595
breather,4,-13.665882303206297
youi,3,-13.953564375658077
nag,6,-13.260417195098132
wouldn,22,-11.961134210967872
donut,12,-12.567270014538186
bunker,22,-11.961134210967872
meow,10,-12.749591571332141
ukrainians,36,-11.468657725870077
esc,20,-12.056444390772196
escape,169,-9.922277949403114
rival,66,-10.862521922299761
accidental,76,-10.721443324039857
agains,13,-12.48722730686465
invader,32,-11.586440761526461
gentle,46,-11.223535267837093
clarks,6,-13.260417195098132
goddard,15,-12.344126463223978
viva,18,-12.161804906430023
tw,43,-11.290976548632624
poopie,2,-14.359029483766243
unpopular,29,-11.684880834339713
wikians,5,-13.442738751892087
twelve,74,-10.748111571122017
inch,117,-10.290002729528432
genetics,102,-10.427203851041916
calender,9,-12.854952086989968
israelis,63,-10.909041937934655
messagebox,225,-9.636076262121767
auto,273,-9.442704869141227
impersonator,27,-11.756339798321859
brutally,16,-12.279587942086406
slav,90,-10.552366993995923
skinhead,9,-12.854952086989968
deadly,52,-11.10093294574476
pentagram,9,-12.854952086989968
pal,84,-10.621359865482875
archangel,6,-13.260417195098132
tiger,113,-10.324788845613847
kurdistan,69,-10.818070159728927
actress,166,-9.940188875969644
piano,152,-10.028296143479912
globe,68,-10.83266895915008
grade,300,-9.348394189669987
trend,172,-9.904682187512734
admire,103,-10.417447676096552
zealous,26,-11.794080126304705
harmonica,8,-12.972735122646352
popper,56,-11.026824973591038
riff,19,-12.107737685159748
hendrix,15,-12.344126463223978
guitar,260,-9.49149503331066
virtuoso,5,-13.442738751892087
guitarist,65,-10.87778939443055
harp,26,-11.794080126304705
blower,9,-12.854952086989968
10th,94,-10.508881882056183
dickhead,3,-13.953564375658077
callin,3,-13.953564375658077
malice,32,-11.586440761526461
bussiness,7,-13.106266515270875
contemporary,293,-9.37200405530912
spout,16,-12.279587942086406
canard,15,-12.344126463223978
ethnocentrism,5,-13.442738751892087
supremacism,5,-13.442738751892087
bandwidth,25,-11.833300839457987
downloaded,54,-11.063192617761914
download,189,-9.810429649266545
surf,32,-11.586440761526461
antiquated,14,-12.41311933471093
wreck,50,-11.140153658898042
havoc,25,-11.833300839457987
convenient,94,-10.508881882056183
admiral,54,-11.063192617761914
phillipines,3,-13.953564375658077
rugby,114,-10.315978215931692
culturally,47,-11.202029062616129
bullcrap,4,-13.665882303206297
personnel,103,-10.417447676096552
smash,73,-10.761717223177797
gladys,10,-12.749591571332141
capitalize,52,-11.10093294574476
heres,37,-11.441258751681962
freinds,8,-12.972735122646352
innappropriate,5,-13.442738751892087
plank,21,-12.007654226602764
masturbation,30,-11.650979282664032
graemel,5,-13.442738751892087
success,314,-9.302783678417933
perpetually,6,-13.260417195098132
affraid,5,-13.442738751892087
envious,6,-13.260417195098132
commune,29,-11.684880834339713
unsuccessful,65,-10.87778939443055
accomplishment,76,-10.721443324039857
satisfaction,67,-10.847484044935221
crusade,106,-10.38873757021412
deleated,11,-12.654281391527817
havent,78,-10.695467837636595
nephew,39,-11.38861501819654
disrespect,75,-10.734688550789876
everbody,5,-13.442738751892087
elses,190,-9.805152592165701
fgm,20,-12.056444390772196
fgc,10,-12.749591571332141
comprise,88,-10.574839849847981
brit,52,-11.10093294574476
yer,13,-12.48722730686465
cowboy,56,-11.026824973591038
chase,74,-10.748111571122017
comedy,114,-10.315978215931692
undisputed,39,-11.38861501819654
championship,264,-9.476227561179872
douchebag,1,-15.052176664326188
isolate,115,-10.307244535962937
rec,17,-12.218963320269971
indochina,9,-12.854952086989968
pol,29,-11.684880834339713
poo,13,-12.48722730686465
agressor,3,-13.953564375658077
reverter,20,-12.056444390772196
doh,19,-12.107737685159748
brainless,7,-13.106266515270875
translator,81,-10.657727509653748
prooved,5,-13.442738751892087
chopin,34,-11.525816139710026
birthday,183,-9.842690511484767
handedness,8,-12.972735122646352
mechanism,208,-9.71463858462487
addy,6,-13.260417195098132
redundant,284,-9.403202426164981
titanic,48,-11.180975653418297
physical,441,-8.963131788879341
attraction,88,-10.574839849847981
lust,17,-12.218963320269971
puck,8,-12.972735122646352
combat,170,-9.916378227275926
slade,4,-13.665882303206297
pin,71,-10.789496787284872
earliest,114,-10.315978215931692
caveat,57,-11.009125396491637
blessing,52,-11.10093294574476
pontificate,13,-12.48722730686465
feared,31,-11.618189459841041
tryed,9,-12.854952086989968
temperament,9,-12.854952086989968
addict,44,-11.267987030407927
arround,5,-13.442738751892087
looney,13,-12.48722730686465
stiff,21,-12.007654226602764
lip,66,-10.862521922299761
existential,7,-13.106266515270875
becase,8,-12.972735122646352
slapping,17,-12.218963320269971
cupboard,6,-13.260417195098132
svg,204,-9.734056670481971
amazed,59,-10.974639220420467
esteban,7,-13.106266515270875
squabble,10,-12.749591571332141
googles,24,-11.874122833978241
consumer,90,-10.552366993995923
wachovia,1,-15.052176664326188
customer,138,-10.124922979168982
dismal,10,-12.749591571332141
volatile,21,-12.007654226602764
holder,519,-8.800272781160299
naacp,4,-13.665882303206297
cliche,13,-12.48722730686465
freaky,4,-13.665882303206297
ers,6,-13.260417195098132
britches,1,-15.052176664326188
belives,7,-13.106266515270875
stack,100,-10.447006478338096
lab,135,-10.146901885887758
alf,19,-12.107737685159748
columbus,53,-11.081884750774066
placing,230,-9.614097355402992
localzuk,3,-13.953564375658077
lo,56,-11.026824973591038
schiavo,30,-11.650979282664032
shred,26,-11.794080126304705
organ,89,-10.563540294594048
navigation,108,-10.370045437201968
fuhrman,4,-13.665882303206297
satirical,18,-12.161804906430023
epitaph,5,-13.442738751892087
appropriately,141,-10.10341677394802
rub,28,-11.719972154150984
pun,61,-10.941302800152876
desist,92,-10.530388087277148
ahh,51,-11.120351031601862
traffic,136,-10.139521778590135
emotionally,45,-11.245514174555868
yummy,7,-13.106266515270875
ironically,85,-10.609525407835871
policeman,31,-11.618189459841041
pink,144,-10.082363364750186
tulip,3,-13.953564375658077
somethin,4,-13.665882303206297
gettin,2,-14.359029483766243
sledge,9,-12.854952086989968
pearl,70,-10.803681422276828
harbor,41,-11.33860459762188
emails,130,-10.184642213870605
disruptively,28,-11.719972154150984
qed,18,-12.161804906430023
shortage,24,-11.874122833978241
mutter,11,-12.654281391527817
hamburger,10,-12.749591571332141
sidewalk,9,-12.854952086989968
overrate,11,-12.654281391527817
sneakers,9,-12.854952086989968
mcneight,3,-13.953564375658077
assistance,419,-9.01430574440405
faq,164,-9.952310236501988
obsession,77,-10.708371242472504
chad,55,-11.044843479093716
acknowledged,257,-9.503100579430967
obese,11,-12.654281391527817
oaf,3,-13.953564375658077
deface,40,-11.36329721021225
transgender,37,-11.441258751681962
allegedly,108,-10.370045437201968
notation,114,-10.315978215931692
enlightened,24,-11.874122833978241
istanbul,54,-11.063192617761914
pogrom,23,-11.916682448397038
amnesty,30,-11.650979282664032
athens,43,-11.290976548632624
accent,174,-9.893121365111659
limbo,9,-12.854952086989968
plight,7,-13.106266515270875
anyhoo,10,-12.749591571332141
pri,10,-12.749591571332141
ooooo,2,-14.359029483766243
soooooo,4,-13.665882303206297
fcuk,1,-15.052176664326188
gorilla,16,-12.279587942086406
jim62sch,6,-13.260417195098132
nostradamus,34,-11.525816139710026
continual,40,-11.36329721021225
banter,16,-12.279587942086406
pls,107,-10.379347829864281
archived,324,-9.271433148533857
rossi,14,-12.41311933471093
michel,28,-11.719972154150984
disqualify,44,-11.267987030407927
renaissance,74,-10.748111571122017
knowledgable,27,-11.756339798321859
spoiled,19,-12.107737685159748
thingy,35,-11.496828602836773
vincent,51,-11.120351031601862
legitamate,4,-13.665882303206297
speaker,485,-8.868027773388704
ukraine,205,-9.72916668518778
odessa,15,-12.344126463223978
maggie,13,-12.48722730686465
header,289,-9.385749976213756
ytmnd,5,-13.442738751892087
daft,29,-11.684880834339713
preceeding,11,-12.654281391527817
yada,25,-11.833300839457987
thay,8,-12.972735122646352
cuba,56,-11.026824973591038
casualty,170,-9.916378227275926
dhimmi,11,-12.654281391527817
jihadist,11,-12.654281391527817
footing,20,-12.056444390772196
researcher,282,-9.410269593388074
parry,7,-13.106266515270875
titties,2,-14.359029483766243
prompt,147,-10.06174407754745
irate,18,-12.161804906430023
minimize,64,-10.893293580966516
shocking,55,-11.044843479093716
aiv,125,-10.223862927023886
tripper,3,-13.953564375658077
haired,17,-12.218963320269971
clueless,56,-11.026824973591038
unveil,9,-12.854952086989968
propagandist,50,-11.140153658898042
assorted,10,-12.749591571332141
rejoinder,3,-13.953564375658077
mechanic,117,-10.290002729528432
mandate,71,-10.789496787284872
therell,16,-12.279587942086406
infinite,147,-10.06174407754745
replacement,239,-9.575713112394677
undertone,7,-13.106266515270875
xena,8,-12.972735122646352
gabrielle,9,-12.854952086989968
relocation,19,-12.107737685159748
complicated,208,-9.71463858462487
multi,210,-9.705069133608719
faction,63,-10.909041937934655
druze,7,-13.106266515270875
militia,62,-10.925042279281096
noel,25,-11.833300839457987
gallagher,4,-13.665882303206297
reffering,11,-12.654281391527817
woth,5,-13.442738751892087
rod,77,-10.708371242472504
sadistic,15,-12.344126463223978
bop,7,-13.106266515270875
torment,12,-12.567270014538186
impress,17,-12.218963320269971
relentless,21,-12.007654226602764
drv,115,-10.307244535962937
plow,7,-13.106266515270875
ton,214,-9.686200649304336
tirade,27,-11.756339798321859
verification,212,-9.695590389654175
detractor,33,-11.555669102859706
imposter,19,-12.107737685159748
wrath,23,-11.916682448397038
critique,162,-9.964580329093803
noms,37,-11.441258751681962
tight,68,-10.83266895915008
venture,89,-10.563540294594048
johnleemk,3,-13.953564375658077
jibe,3,-13.953564375658077
interchange,23,-11.916682448397038
stranger,69,-10.818070159728927
umbrage,6,-13.260417195098132
machine,407,-9.043363478883592
spec,54,-11.063192617761914
duo,27,-11.756339798321859
90s,44,-11.267987030407927
beige,10,-12.749591571332141
g3,20,-12.056444390772196
pedantry,6,-13.260417195098132
egads,5,-13.442738751892087
bunchofgrapes,19,-12.107737685159748
varnish,5,-13.442738751892087
sanitize,21,-12.007654226602764
jeb,7,-13.106266515270875
userbox,193,-9.789486475421302
skip,126,-10.21589475737471
tfd,80,-10.670150029652305
speedied,28,-11.719972154150984
intricacy,11,-12.654281391527817
avail,51,-11.120351031601862
oneself,34,-11.525816139710026
overstep,19,-12.107737685159748
encounter,227,-9.627226646844784
subscriber,24,-11.874122833978241
tally,57,-11.009125396491637
uda,11,-12.654281391527817
uvf,11,-12.654281391527817
lvf,4,-13.665882303206297
loyalist,50,-11.140153658898042
ira,128,-10.20014640040657
inla,10,-12.749591571332141
innacuracies,7,-13.106266515270875
hissy,8,-12.972735122646352
relaible,8,-12.972735122646352
conundrum,13,-12.48722730686465
hows,27,-11.756339798321859
thx,84,-10.621359865482875
vale,7,-13.106266515270875
flip,87,-10.586268545671604
daughter,269,-9.457465284724348
routine,74,-10.748111571122017
hire,125,-10.223862927023886
kiddy,8,-12.972735122646352
cd,168,-9.92821268492293
pulp,15,-12.344126463223978
shatter,30,-11.650979282664032
violently,17,-12.218963320269971
leftover,6,-13.260417195098132
chest,45,-11.245514174555868
bend,52,-11.10093294574476
microwave,18,-12.161804906430023
heat,233,-9.601138210760487
aristocrat,8,-12.972735122646352
printing,83,-10.63333605652959
porsche,13,-12.48722730686465
motor,113,-10.324788845613847
reside,112,-10.333677793031093
nowiki,9,-12.854952086989968
darn,35,-11.496828602836773
churn,13,-12.48722730686465
yr,34,-11.525816139710026
xx,55,-11.044843479093716
jdwolff,4,-13.665882303206297
gmc,25,-11.833300839457987
abolish,56,-11.026824973591038
connive,4,-13.665882303206297
wisdom,111,-10.342646463013853
woefully,18,-12.161804906430023
vendetta,74,-10.748111571122017
morbidly,6,-13.260417195098132
biscuit,15,-12.344126463223978
sooooo,7,-13.106266515270875
shallow,32,-11.586440761526461
atta,2,-14.359029483766243
blogger,46,-11.223535267837093
hunting,82,-10.645457417061934
kos,12,-12.567270014538186
pedigree,26,-11.794080126304705
ramp,20,-12.056444390772196
jurisprudence,21,-12.007654226602764
congressional,72,-10.775510545310132
notability,2622,-7.180484000002542
swat,38,-11.414590504599802
morrow,12,-12.567270014538186
lethbridge,5,-13.442738751892087
collegiate,30,-11.650979282664032
unfathomable,6,-13.260417195098132
tomorrow,403,-9.053240102379505
grey,154,-10.015224061912559
colour,289,-9.385749976213756
toxic,60,-10.957832102104087
closet,27,-11.756339798321859
yup,69,-10.818070159728927
egalitarian,11,-12.654281391527817
